Distrito,Barrio,URL Completa,URL Path
Retiro,Ibiza,https://www.idealista.com/venta-viviendas/madrid/retiro/ibiza/,/venta-viviendas/madrid/retiro/ibiza/
Retiro,Jerónimos,https://www.idealista.com/venta-viviendas/madrid/retiro/jeronimos/,/venta-viviendas/madrid/retiro/jeronimos/
Retiro,Niño Jesús,https://www.idealista.com/venta-viviendas/madrid/retiro/nino-jesus/,/venta-viviendas/madrid/retiro/nino-jesus/
Retiro,Pacífico,https://www.idealista.com/venta-viviendas/madrid/retiro/pacifico/,/venta-viviendas/madrid/retiro/pacifico/
San Blas-Canillejas,Amposta,https://www.idealista.com/venta-viviendas/madrid/san-blas/amposta/,/venta-viviendas/madrid/san-blas/amposta/
San Blas-Canillejas,Arcos,https://www.idealista.com/venta-viviendas/madrid/san-blas/arcos/,/venta-viviendas/madrid/san-blas/arcos/
San Blas-Canillejas,Canillejas,https://www.idealista.com/venta-viviendas/madrid/san-blas/canillejas/,/venta-viviendas/madrid/san-blas/canillejas/
San Blas-Canillejas,Hellín,https://www.idealista.com/venta-viviendas/madrid/san-blas/hellin/,/venta-viviendas/madrid/san-blas/hellin/
San Blas-Canillejas,Rejas,https://www.idealista.com/venta-viviendas/madrid/san-blas/rejas/,/venta-viviendas/madrid/san-blas/rejas/
San Blas-Canillejas,Rosas,https://www.idealista.com/venta-viviendas/madrid/san-blas/rosas/,/venta-viviendas/madrid/san-blas/rosas/
San Blas-Canillejas,Salvador,https://www.idealista.com/venta-viviendas/madrid/san-blas/salvador/,/venta-viviendas/madrid/san-blas/salvador/
San Blas-Canillejas,Simancas,https://www.idealista.com/venta-viviendas/madrid/san-blas/simancas/,/venta-viviendas/madrid/san-blas/simancas/
Tetuán,Bellas Vistas,https://www.idealista.com/venta-viviendas/madrid/tetuan/bellas-vistas/,/venta-viviendas/madrid/tetuan/bellas-vistas/
Tetuán,Berruguete,https://www.idealista.com/venta-viviendas/madrid/tetuan/berruguete/,/venta-viviendas/madrid/tetuan/berruguete/
Tetuán,Cuatro Caminos,https://www.idealista.com/venta-viviendas/madrid/tetuan/cuatro-caminos/,/venta-viviendas/madrid/tetuan/cuatro-caminos/
Tetuán,Cuzco-Castillejos,https://www.idealista.com/venta-viviendas/madrid/tetuan/cuzco-castillejos/,/venta-viviendas/madrid/tetuan/cuzco-castillejos/
Tetuán,Valdeacederas,https://www.idealista.com/venta-viviendas/madrid/tetuan/valdeacederas/,/venta-viviendas/madrid/tetuan/valdeacederas/
Tetuán,Ventilla-Almenara,https://www.idealista.com/venta-viviendas/madrid/tetuan/ventilla-almenara/,/venta-viviendas/madrid/tetuan/ventilla-almenara/
Usera,12 de Octubre-Orcasur,https://www.idealista.com/venta-viviendas/madrid/usera/12-de-octubre-orcasur/,/venta-viviendas/madrid/usera/12-de-octubre-orcasur/
Usera,Almendrales,https://www.idealista.com/venta-viviendas/madrid/usera/almendrales/,/venta-viviendas/madrid/usera/almendrales/
Usera,Moscardó,https://www.idealista.com/venta-viviendas/madrid/usera/moscardo/,/venta-viviendas/madrid/usera/moscardo/
Usera,Orcasitas,https://www.idealista.com/venta-viviendas/madrid/usera/orcasitas/,/venta-viviendas/madrid/usera/orcasitas/
Usera,Pradolongo,https://www.idealista.com/venta-viviendas/madrid/usera/pradolongo/,/venta-viviendas/madrid/usera/pradolongo/
Usera,San Fermín,https://www.idealista.com/venta-viviendas/madrid/usera/san-fermin/,/venta-viviendas/madrid/usera/san-fermin/
Usera,Zofío,https://www.idealista.com/venta-viviendas/madrid/usera/zofio/,/venta-viviendas/madrid/usera/zofio/
Vicálvaro,Ambroz,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/ambroz/,/venta-viviendas/madrid/vicalvaro/ambroz/
Vicálvaro,Casco Histórico de Vicálvaro,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/casco-historico-de-vicalvaro/,/venta-viviendas/madrid/vicalvaro/casco-historico-de-vicalvaro/
Vicálvaro,El Cañaveral,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/el-canaveral/,/venta-viviendas/madrid/vicalvaro/el-canaveral/
Vicálvaro,Los Ahijones,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/los-ahijones/,/venta-viviendas/madrid/vicalvaro/los-ahijones/
Vicálvaro,Los Berrocales,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/los-berrocales/,/venta-viviendas/madrid/vicalvaro/los-berrocales/
Vicálvaro,Los Cerros,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/los-cerros/,/venta-viviendas/madrid/vicalvaro/los-cerros/
Vicálvaro,Valdebernardo-Valderrivas,https://www.idealista.com/venta-viviendas/madrid/vicalvaro/valdebernardo-valderrivas/,/venta-viviendas/madrid/vicalvaro/valdebernardo-valderrivas/
Villa de Vallecas,Casco Histórico de Vallecas,https://www.idealista.com/venta-viviendas/madrid/villa-de-vallecas/casco-historico-de-vallecas/,/venta-viviendas/madrid/villa-de-vallecas/casco-historico-de-vallecas/
Villa de Vallecas,Ensanche de Vallecas-La Gavia,https://www.idealista.com/venta-viviendas/madrid/villa-de-vallecas/ensanche-de-vallecas-la-gavia/,/venta-viviendas/madrid/villa-de-vallecas/ensanche-de-vallecas-la-gavia/
Villa de Vallecas,Santa Eugenia,https://www.idealista.com/venta-viviendas/madrid/villa-de-vallecas/santa-eugenia/,/venta-viviendas/madrid/villa-de-vallecas/santa-eugenia/
Villa de Vallecas,Valdecarros,https://www.idealista.com/venta-viviendas/madrid/villa-de-vallecas/valdecarros/,/venta-viviendas/madrid/villa-de-vallecas/valdecarros/
Villaverde,Butarque,https://www.idealista.com/venta-viviendas/madrid/villaverde/butarque/,/venta-viviendas/madrid/villaverde/butarque/
Villaverde,Los Ángeles,https://www.idealista.com/venta-viviendas/madrid/villaverde/los-angeles/,/venta-viviendas/madrid/villaverde/los-angeles/
Villaverde,Los Rosales,https://www.idealista.com/venta-viviendas/madrid/villaverde/los-rosales/,/venta-viviendas/madrid/villaverde/los-rosales/
Villaverde,San Cristóbal,https://www.idealista.com/venta-viviendas/madrid/villaverde/san-cristobal/,/venta-viviendas/madrid/villaverde/san-cristobal/
Villaverde,Villaverde Alto,https://www.idealista.com/venta-viviendas/madrid/villaverde/villaverde-alto/,/venta-viviendas/madrid/villaverde/villaverde-alto/
Fuencarral-El Pardo,El Goloso,https://www.idealista.com/venta-viviendas/madrid/fuencarral/el-goloso/,/venta-viviendas/madrid/fuencarral/el-goloso/
Fuencarral-El Pardo,Valverde,https://www.idealista.com/venta-viviendas/madrid/fuencarral/valverde/,/venta-viviendas/madrid/fuencarral/valverde/
Latina,Batán,https://www.idealista.com/venta-viviendas/madrid/latina/batan/,/venta-viviendas/madrid/latina/batan/
Moncloa-Aravaca,Dehesa de la Villa,https://www.idealista.com/venta-viviendas/madrid/moncloa/dehesa-de-la-villa/,/venta-viviendas/madrid/moncloa/dehesa-de-la-villa/
Moratalaz,Arroyo del Olivar,https://www.idealista.com/venta-viviendas/madrid/moratalaz/arroyo-del-olivar/,/venta-viviendas/madrid/moratalaz/arroyo-del-olivar/
Puente de Vallecas,Doña Carlota,https://www.idealista.com/venta-viviendas/madrid/puente-de-vallecas/dona-carlota/,/venta-viviendas/madrid/puente-de-vallecas/dona-carlota/
Puente de Vallecas,Pozo del Tío Raimundo,https://www.idealista.com/venta-viviendas/madrid/puente-de-vallecas/pozo-del-tio-raimundo/,/venta-viviendas/madrid/puente-de-vallecas/pozo-del-tio-raimundo/
Hortaleza,Pinar de Chamartín,https://www.idealista.com/venta-viviendas/madrid/hortaleza/pinar-de-chamartin/,/venta-viviendas/madrid/hortaleza/pinar-de-chamartin/
